id,edad,nivel_edu,ingreso_mensual,sexo,anios_esc
2009,34,Secundaria completa,6880,Hombre,9
2010,57,Primaria incompleta,7740,Hombre,3
2011,30,Secundaria completa,5590,Mujer,9
2012,56,Secundaria completa,5160,Hombre,11
2013,28,Medio superior y superior,14000,Hombre,12
2014,22,Medio superior y superior,4300,Mujer,15
2015,56,Secundaria completa,7740,Mujer,11
2016,58,Primaria incompleta,6000,Mujer,3
2017,53,Secundaria completa,3440,Mujer,12
2018,33,Secundaria completa,6020,Mujer,9
2019,55,Prrimaria completa,1500,Mujer,6
2020,35,Secundaria completa,6880,Mujer,9
2021,52,Medio superior y superior,4300,Hombre,12
2022,32,Medio superior y superior,17200,Mujer,17
2023,41,Secundaria completa,4730,Hombre,9
2024,32,Secundaria completa,6450,Mujer,9
2025,39,Medio superior y superior,9000,Mujer,16
2026,24,Prrimaria completa,7740,Hombre,6
2027,36,Medio superior y superior,10000,Hombre,12
2028,40,Medio superior y superior,6450,Mujer,16
2029,30,Secundaria completa,1000,Hombre,9
2030,52,Medio superior y superior,9000,Mujer,16
2031,27,Medio superior y superior,12000,Hombre,13
2032,44,Medio superior y superior,15050,Hombre,17
2033,56,Secundaria completa,6450,Hombre,9
2034,54,Medio superior y superior,30000,Mujer,12
2035,34,Medio superior y superior,3655,Mujer,14
2036,38,Prrimaria completa,6450,Hombre,8
2037,27,Secundaria completa,8000,Mujer,10
2038,55,Prrimaria completa,6450,Hombre,6
2039,42,Prrimaria completa,9000,Hombre,8
2040,45,Medio superior y superior,8600,Hombre,12
2041,23,Secundaria completa,2150,Hombre,10
2042,28,Medio superior y superior,8000,Hombre,12
2043,41,Secundaria completa,4300,Mujer,9
2044,39,Medio superior y superior,15000,Hombre,12
2045,22,Secundaria completa,3440,Mujer,9
2046,50,Medio superior y superior,10000,Mujer,16
2047,38,Secundaria completa,8600,Hombre,11
2048,32,Prrimaria completa,1548,Hombre,6
2049,43,Medio superior y superior,19600,Hombre,18
2050,62,Secundaria completa,10750,Hombre,9
2051,40,Secundaria completa,5590,Hombre,9
2052,31,Secundaria completa,5160,Hombre,9
2053,20,Medio superior y superior,8600,Hombre,15
2054,14,Prrimaria completa,1290,Hombre,8
2055,56,Prrimaria completa,2150,Hombre,6
2056,37,Medio superior y superior,8000,Hombre,17
2057,46,Secundaria completa,4500,Hombre,9
2058,27,Primaria incompleta,11610,Hombre,1
2059,45,Secundaria completa,8000,Hombre,9
2060,50,Prrimaria completa,10750,Hombre,8
2061,25,Medio superior y superior,10000,Hombre,17
2062,42,Primaria incompleta,5160,Hombre,3
2063,50,Prrimaria completa,6020,Mujer,6
2064,30,Secundaria completa,6450,Mujer,11
2065,47,Secundaria completa,4300,Mujer,9
2066,39,Medio superior y superior,4300,Hombre,12
2067,36,Medio superior y superior,10000,Mujer,15
2068,49,Medio superior y superior,8000,Mujer,12
2069,41,Medio superior y superior,10000,Hombre,12
2070,70,Primaria incompleta,6450,Hombre,3
2071,67,Secundaria completa,12900,Mujer,9
2072,59,Medio superior y superior,9000,Hombre,17
2073,56,Prrimaria completa,5160,Hombre,6
2074,47,Secundaria completa,4300,Mujer,11
2075,47,Medio superior y superior,5400,Mujer,16
2076,19,Secundaria completa,2580,Hombre,9
2077,64,Medio superior y superior,30000,Hombre,14
2078,47,Medio superior y superior,19000,Hombre,18
2079,53,Prrimaria completa,6020,Mujer,6
2080,28,Medio superior y superior,8600,Hombre,12
2081,55,Medio superior y superior,2580,Hombre,16
2082,26,Medio superior y superior,4300,Hombre,17
2083,40,Secundaria completa,4515,Mujer,11
2084,38,Secundaria completa,9890,Hombre,9
2085,25,Medio superior y superior,8400,Hombre,17
2086,34,Secundaria completa,3440,Hombre,9
2087,34,Secundaria completa,12900,Hombre,9
2088,26,Medio superior y superior,4085,Hombre,12
2089,31,Medio superior y superior,1032,Hombre,12
2090,32,Secundaria completa,8600,Hombre,9
2091,35,Primaria incompleta,3870,Hombre,2
2092,21,Secundaria completa,6020,Hombre,11
2093,29,Prrimaria completa,3440,Hombre,6
2094,25,Medio superior y superior,4300,Mujer,12
2095,50,Prrimaria completa,5160,Mujer,6
2096,39,Prrimaria completa,5160,Hombre,6
2097,37,Secundaria completa,8600,Hombre,9
2098,48,Medio superior y superior,6000,Hombre,12
2099,22,Medio superior y superior,5160,Hombre,12
2100,43,Secundaria completa,12000,Hombre,9
2101,31,Prrimaria completa,12040,Hombre,6
2102,54,Prrimaria completa,10750,Hombre,6
2103,29,Secundaria completa,8600,Hombre,11
2104,26,Medio superior y superior,1075,Mujer,12
2105,33,Medio superior y superior,8600,Hombre,12
2106,25,Secundaria completa,6450,Hombre,9
2107,37,Prrimaria completa,5590,Mujer,6
2108,56,Prrimaria completa,4730,Hombre,6
2109,38,Medio superior y superior,12000,Hombre,17
2110,52,Secundaria completa,6450,Hombre,9
2111,28,Medio superior y superior,10000,Hombre,13
2112,56,Medio superior y superior,4300,Hombre,12
2113,47,Prrimaria completa,4730,Hombre,6
2114,23,Prrimaria completa,6450,Hombre,7
2115,64,Primaria incompleta,6450,Hombre,3
2116,36,Secundaria completa,1032,Mujer,9
2117,33,Secundaria completa,4300,Hombre,9
2118,42,Secundaria completa,7740,Hombre,9
2119,29,Medio superior y superior,8000,Hombre,18
2120,38,Primaria incompleta,1204,Mujer,4
2121,35,Secundaria completa,10000,Mujer,12
2122,62,Medio superior y superior,12000,Hombre,16
2123,50,Secundaria completa,8000,Hombre,9
2124,32,Medio superior y superior,15000,Mujer,16
2125,51,Prrimaria completa,15000,Mujer,7
2126,30,Medio superior y superior,11000,Hombre,12
2127,53,Prrimaria completa,2150,Mujer,6
2128,61,Prrimaria completa,5800,Hombre,6
2129,55,Primaria incompleta,6880,Hombre,2
2130,26,Medio superior y superior,6400,Hombre,12
2131,53,Medio superior y superior,15000,Mujer,16
2132,29,Medio superior y superior,30000,Mujer,17
2133,40,Prrimaria completa,6450,Hombre,6
2134,23,Medio superior y superior,10400,Mujer,16
2135,36,Primaria incompleta,7181,Hombre,3
2136,27,Secundaria completa,9000,Hombre,9
2137,51,Prrimaria completa,6450,Mujer,6
2138,24,Medio superior y superior,1290,Hombre,12
2139,36,Medio superior y superior,8600,Hombre,15
2140,46,Medio superior y superior,6000,Hombre,12
2141,44,Secundaria completa,12000,Hombre,9
2142,45,Secundaria completa,6450,Mujer,9
2143,45,Secundaria completa,3870,Hombre,9
2144,55,Medio superior y superior,17200,Hombre,12
2145,23,Secundaria completa,1800,Mujer,10
2146,47,Prrimaria completa,3225,Mujer,6
2147,59,Primaria incompleta,1290,Hombre,3
2148,23,Medio superior y superior,6450,Hombre,12
2149,45,Medio superior y superior,5000,Hombre,16
2150,38,Secundaria completa,10750,Hombre,9
2151,38,Medio superior y superior,9400,Hombre,17
2152,41,Prrimaria completa,1290,Mujer,7
2153,33,Secundaria completa,5160,Hombre,9
2154,44,Prrimaria completa,3870,Hombre,6
2155,33,Medio superior y superior,10000,Mujer,12
2156,41,Secundaria completa,5160,Mujer,9
2157,54,Medio superior y superior,3000,Hombre,16
2158,44,Prrimaria completa,6450,Hombre,6
2159,21,Medio superior y superior,8600,Hombre,12
2160,22,Medio superior y superior,2150,Mujer,16
2161,41,Secundaria completa,10750,Hombre,12
2162,21,Prrimaria completa,7740,Hombre,6
2163,18,Secundaria completa,6880,Hombre,9
2164,20,Medio superior y superior,3000,Mujer,12
2165,48,Secundaria completa,3870,Mujer,9
2166,59,Secundaria completa,15050,Hombre,9
2167,37,Prrimaria completa,1161,Mujer,6
2168,27,Secundaria completa,4500,Mujer,9
2169,44,Primaria incompleta,8170,Hombre,4
2170,48,Prrimaria completa,4300,Hombre,6
2171,69,Secundaria completa,1290,Mujer,9
2172,17,Secundaria completa,3440,Mujer,9
2173,59,Primaria incompleta,6000,Mujer,3
2174,24,Secundaria completa,3870,Hombre,9
2175,24,Prrimaria completa,7500,Hombre,6
2176,61,Secundaria completa,12900,Mujer,9
2177,52,Prrimaria completa,3010,Mujer,6
2178,27,Secundaria completa,6450,Hombre,9
2179,28,Secundaria completa,5375,Hombre,9
2180,33,Secundaria completa,1720,Hombre,9
2181,21,Medio superior y superior,3440,Mujer,14
2182,27,Medio superior y superior,20000,Hombre,17
2183,38,Medio superior y superior,11180,Hombre,17
2184,20,Medio superior y superior,6450,Hombre,12
2185,62,Medio superior y superior,8600,Hombre,16
2186,31,Secundaria completa,8600,Hombre,9
2187,41,Medio superior y superior,10000,Hombre,17
2188,64,Primaria incompleta,3440,Mujer,2
2189,18,Prrimaria completa,6020,Mujer,6
2190,46,Secundaria completa,4300,Mujer,9
2191,22,Medio superior y superior,4730,Mujer,12
2192,31,Medio superior y superior,3870,Hombre,12
2193,51,Prrimaria completa,4900,Mujer,6
2194,23,Secundaria completa,6450,Hombre,9
2195,67,Primaria incompleta,3440,Mujer,3
2196,40,Primaria incompleta,21500,Hombre,5
2197,46,Prrimaria completa,6880,Hombre,7
2198,43,Secundaria completa,10320,Hombre,9
2199,52,Prrimaria completa,6450,Mujer,6
2200,54,Prrimaria completa,5160,Mujer,6
2201,34,Secundaria completa,8600,Mujer,9
2202,43,Primaria incompleta,5000,Mujer,3
2203,23,Secundaria completa,30100,Hombre,9
2204,32,Secundaria completa,1290,Hombre,9
2205,31,Secundaria completa,4515,Mujer,9
2206,17,Secundaria completa,2580,Hombre,9
2207,28,Medio superior y superior,10000,Hombre,17
2208,25,Medio superior y superior,12000,Mujer,15
2209,35,Medio superior y superior,8600,Hombre,14
2210,44,Medio superior y superior,10000,Mujer,12
2211,55,Secundaria completa,2580,Mujer,12
2212,61,Primaria incompleta,2000,Hombre,3
2213,37,Medio superior y superior,20000,Mujer,16
2214,42,Medio superior y superior,8000,Mujer,17
2215,30,Medio superior y superior,3870,Mujer,15
2216,51,Prrimaria completa,4300,Mujer,6
2217,63,Secundaria completa,1720,Hombre,9
2218,48,Secundaria completa,6450,Mujer,9
2219,45,Secundaria completa,7740,Hombre,9
2220,37,Prrimaria completa,8600,Hombre,7
2221,48,Secundaria completa,2580,Mujer,12
2222,25,Secundaria completa,6020,Mujer,10
2223,59,Secundaria completa,10000,Mujer,12
2224,50,Medio superior y superior,14000,Mujer,17
2225,38,Medio superior y superior,6560,Mujer,17
2226,29,Secundaria completa,6450,Hombre,9
2227,52,Prrimaria completa,4600,Hombre,6
2228,28,Medio superior y superior,4000,Hombre,17
2229,65,Secundaria completa,5800,Hombre,9
2230,51,Medio superior y superior,14600,Mujer,17
2231,40,Prrimaria completa,12900,Hombre,6
2232,29,Secundaria completa,7800,Hombre,9
2233,37,Prrimaria completa,10750,Hombre,6
2234,18,Medio superior y superior,3612,Hombre,12
2235,55,Medio superior y superior,6450,Mujer,12
2236,15,Primaria incompleta,4300,Hombre,4
2237,34,Secundaria completa,4300,Hombre,9
2238,22,Prrimaria completa,7310,Hombre,6
2239,27,Medio superior y superior,8600,Hombre,16
2240,64,Primaria incompleta,1720,Hombre,2
2241,56,Secundaria completa,5600,Hombre,9
2242,21,Secundaria completa,5160,Hombre,9
2243,66,Secundaria completa,10600,Mujer,12
2244,26,Secundaria completa,6020,Hombre,9
2245,65,Primaria incompleta,4300,Mujer,2
2246,43,Medio superior y superior,30000,Mujer,17
2247,32,Secundaria completa,3870,Hombre,9
2248,36,Medio superior y superior,12000,Hombre,16
2249,27,Secundaria completa,5160,Mujer,9
2250,29,Secundaria completa,5160,Hombre,9
2251,60,Prrimaria completa,3440,Hombre,6
2252,48,Prrimaria completa,4300,Mujer,6
2253,18,Secundaria completa,8600,Hombre,11
2254,38,Secundaria completa,5590,Hombre,9
2255,45,Medio superior y superior,10000,Mujer,17
2256,18,Secundaria completa,2150,Hombre,9
2257,25,Medio superior y superior,3440,Mujer,12
2258,35,Secundaria completa,5160,Mujer,9
2259,34,Medio superior y superior,16000,Mujer,12
2260,39,Medio superior y superior,12000,Mujer,18
2261,46,Medio superior y superior,17000,Hombre,14
2262,24,Secundaria completa,1505,Mujer,9
2263,22,Secundaria completa,3096,Hombre,11
2264,50,Medio superior y superior,30000,Hombre,19
2265,42,Secundaria completa,4300,Mujer,9
2266,39,Prrimaria completa,5460,Hombre,6
2267,50,Medio superior y superior,20000,Hombre,17
2268,52,Medio superior y superior,20000,Hombre,19
2269,22,Medio superior y superior,3870,Mujer,12
2270,37,Medio superior y superior,8000,Mujer,17
2271,39,Secundaria completa,6020,Hombre,9
2272,50,Secundaria completa,6450,Hombre,9
2273,34,Medio superior y superior,5160,Hombre,12
2274,30,Secundaria completa,5160,Mujer,9
2275,20,Secundaria completa,9030,Hombre,9
2276,51,Secundaria completa,1290,Mujer,9
2277,32,Medio superior y superior,8600,Hombre,12
2278,27,Secundaria completa,8600,Mujer,9
2279,39,Medio superior y superior,25800,Mujer,16
2280,41,Medio superior y superior,8385,Hombre,12
2281,30,Medio superior y superior,10000,Mujer,16
2282,70,Prrimaria completa,2500,Hombre,6
2283,40,Secundaria completa,1720,Mujer,9
2284,47,Medio superior y superior,8000,Mujer,17
2285,22,Prrimaria completa,4515,Hombre,7
2286,46,Medio superior y superior,10000,Mujer,17
2287,39,Secundaria completa,8000,Hombre,9
2288,40,Secundaria completa,2000,Mujer,9
2289,54,Medio superior y superior,3010,Mujer,17
2290,36,Prrimaria completa,12040,Hombre,8
2291,39,Prrimaria completa,5160,Hombre,6
2292,34,Primaria incompleta,6063,Hombre,2
2293,60,Primaria incompleta,2580,Hombre,3
2294,45,Medio superior y superior,10000,Hombre,17
2295,43,Secundaria completa,3870,Mujer,9
2296,43,Prrimaria completa,8600,Hombre,6
2297,42,Secundaria completa,15050,Hombre,9
2298,71,Prrimaria completa,3096,Hombre,6
2299,49,Prrimaria completa,5590,Hombre,6
2300,22,Medio superior y superior,4300,Hombre,14
2301,27,Primaria incompleta,5160,Mujer,0
2302,21,Secundaria completa,1720,Hombre,9
2303,85,Primaria incompleta,3400,Hombre,0
2304,64,Primaria incompleta,6450,Hombre,2
2305,23,Secundaria completa,5590,Mujer,9
2306,48,Prrimaria completa,3870,Hombre,6
2307,18,Prrimaria completa,2580,Hombre,6
2308,43,Medio superior y superior,9000,Mujer,16
2309,18,Secundaria completa,3010,Mujer,11
2310,44,Primaria incompleta,1720,Hombre,5
2311,61,Primaria incompleta,3200,Mujer,1
2312,53,Prrimaria completa,7740,Hombre,8
2313,30,Secundaria completa,5160,Hombre,9
2314,47,Secundaria completa,1290,Mujer,9
2315,32,Medio superior y superior,2600,Mujer,17
2316,21,Secundaria completa,6070,Mujer,9
2317,71,Primaria incompleta,1290,Hombre,0
2318,34,Medio superior y superior,12000,Hombre,17
2319,26,Medio superior y superior,8000,Mujer,16
2320,45,Prrimaria completa,5160,Mujer,6
2321,60,Secundaria completa,6000,Mujer,9
2322,26,Prrimaria completa,5590,Hombre,6
2323,28,Secundaria completa,1290,Mujer,11
2324,38,Medio superior y superior,8600,Hombre,12
2325,31,Medio superior y superior,12000,Hombre,17
2326,17,Secundaria completa,4300,Hombre,9
2327,37,Secundaria completa,12900,Hombre,9
2328,16,Secundaria completa,5590,Hombre,9
2329,50,Secundaria completa,1000,Hombre,9
2330,46,Medio superior y superior,20000,Hombre,12
2331,18,Secundaria completa,2150,Hombre,10
2332,52,Medio superior y superior,28000,Mujer,19
2333,25,Medio superior y superior,8000,Hombre,17
2334,26,Medio superior y superior,3200,Mujer,17
2335,40,Primaria incompleta,5160,Mujer,3
2336,26,Medio superior y superior,10750,Hombre,16
2337,40,Medio superior y superior,10000,Hombre,12
2338,48,Secundaria completa,8600,Hombre,9
2339,48,Prrimaria completa,4500,Hombre,6
2340,37,Medio superior y superior,15000,Hombre,16
2341,26,Secundaria completa,4330,Hombre,9
2342,16,Prrimaria completa,3870,Hombre,8
2343,21,Medio superior y superior,3600,Hombre,14
2344,18,Primaria incompleta,10750,Hombre,4
2345,29,Secundaria completa,6020,Hombre,10
2346,23,Medio superior y superior,10000,Hombre,12
2347,26,Secundaria completa,5160,Hombre,9
2348,45,Primaria incompleta,4300,Hombre,3
2349,51,Primaria incompleta,6450,Hombre,3
2350,52,Prrimaria completa,6000,Hombre,6
2351,21,Medio superior y superior,3870,Hombre,14
2352,56,Secundaria completa,9000,Hombre,12
2353,36,Secundaria completa,4730,Hombre,9
2354,41,Prrimaria completa,3440,Mujer,6
2355,39,Medio superior y superior,12900,Hombre,12
2356,30,Medio superior y superior,12000,Hombre,16
2357,34,Medio superior y superior,4300,Mujer,12
2358,28,Medio superior y superior,3440,Hombre,12
2359,36,Medio superior y superior,4300,Mujer,12
2360,27,Medio superior y superior,20640,Hombre,17
2361,43,Secundaria completa,6235,Mujer,9
2362,39,Prrimaria completa,8600,Hombre,6
2363,78,Primaria incompleta,5160,Mujer,4
2364,38,Medio superior y superior,10750,Hombre,17
2365,49,Medio superior y superior,12000,Hombre,19
2366,22,Medio superior y superior,4730,Mujer,12
2367,25,Medio superior y superior,5160,Hombre,17
2368,42,Secundaria completa,5160,Mujer,9
2369,40,Prrimaria completa,4300,Mujer,6
2370,44,Secundaria completa,5200,Mujer,9
2371,37,Secundaria completa,7740,Hombre,9
2372,20,Secundaria completa,7430,Hombre,11
2373,58,Prrimaria completa,3225,Mujer,6
2374,64,Medio superior y superior,1500,Hombre,12
2375,47,Secundaria completa,2580,Mujer,9
2376,19,Secundaria completa,4515,Hombre,9
2377,29,Secundaria completa,3096,Hombre,9
2378,58,Medio superior y superior,28000,Hombre,16
2379,29,Medio superior y superior,8000,Hombre,12
2380,64,Primaria incompleta,1935,Hombre,3
2381,45,Secundaria completa,10750,Hombre,9
2382,24,Secundaria completa,3500,Mujer,9
2383,31,Secundaria completa,7310,Mujer,9
2384,44,Secundaria completa,1204,Mujer,9
2385,44,Prrimaria completa,3440,Mujer,6
2386,20,Medio superior y superior,1935,Hombre,12
2387,15,Secundaria completa,2000,Mujer,9
2388,34,Medio superior y superior,6450,Mujer,14
2389,55,Medio superior y superior,19200,Hombre,12
2390,37,Secundaria completa,2580,Mujer,9
2391,17,Prrimaria completa,1290,Hombre,7
2392,23,Medio superior y superior,5375,Hombre,17
2393,18,Secundaria completa,3870,Mujer,11
2394,29,Secundaria completa,8600,Mujer,10
2395,22,Medio superior y superior,4000,Hombre,12
2396,56,Secundaria completa,4730,Hombre,9
2397,74,Primaria incompleta,3750,Hombre,1
2398,56,Prrimaria completa,3870,Mujer,6
2399,74,Primaria incompleta,2150,Mujer,3
2400,48,Secundaria completa,12900,Hombre,9
2401,48,Prrimaria completa,1000,Mujer,6
2402,36,Secundaria completa,4730,Mujer,9
2403,41,Secundaria completa,15050,Hombre,9
2404,49,Secundaria completa,6450,Hombre,9
2405,65,Prrimaria completa,5160,Hombre,6
2406,50,Primaria incompleta,2000,Hombre,2
2407,66,Medio superior y superior,4000,Hombre,16
2408,43,Medio superior y superior,10000,Mujer,17
2409,20,Medio superior y superior,8600,Hombre,12
2410,21,Medio superior y superior,8400,Mujer,12
2411,39,Prrimaria completa,6020,Mujer,6
2412,43,Secundaria completa,9000,Hombre,9
2413,55,Prrimaria completa,6000,Hombre,6
2414,29,Medio superior y superior,10750,Mujer,12
2415,38,Secundaria completa,2580,Hombre,9
2416,50,Medio superior y superior,8000,Hombre,12
2417,40,Medio superior y superior,14000,Hombre,20
2418,29,Prrimaria completa,5600,Mujer,8
2419,29,Medio superior y superior,8000,Hombre,16
2420,55,Medio superior y superior,11000,Mujer,12
2421,54,Primaria incompleta,1935,Hombre,3
2422,33,Medio superior y superior,8600,Hombre,12
2423,37,Secundaria completa,6450,Mujer,9
2424,60,Medio superior y superior,8600,Hombre,15
2425,59,Primaria incompleta,2580,Mujer,0
2426,54,Medio superior y superior,15000,Hombre,17
2427,43,Primaria incompleta,4300,Mujer,5
2428,53,Secundaria completa,8600,Hombre,9
2429,41,Secundaria completa,5160,Mujer,9
2430,29,Secundaria completa,12040,Hombre,9
2431,27,Secundaria completa,10750,Hombre,9
2432,46,Secundaria completa,1290,Mujer,9
2433,20,Prrimaria completa,5160,Hombre,8
2434,38,Medio superior y superior,1290,Mujer,12
2435,36,Medio superior y superior,10000,Mujer,17
2436,17,Secundaria completa,1720,Hombre,10
2437,36,Medio superior y superior,16000,Hombre,17
2438,30,Prrimaria completa,6450,Mujer,6
2439,23,Medio superior y superior,2400,Mujer,12
2440,48,Secundaria completa,8000,Hombre,10
2441,62,Prrimaria completa,7740,Hombre,6
2442,45,Secundaria completa,16000,Hombre,9
2443,28,Secundaria completa,5590,Hombre,10
2444,52,Secundaria completa,6450,Hombre,9
2445,16,Prrimaria completa,3225,Mujer,6
2446,50,Medio superior y superior,4000,Hombre,13
2447,35,Prrimaria completa,6400,Hombre,6
2448,49,Medio superior y superior,2150,Mujer,12
2449,31,Medio superior y superior,5160,Hombre,12
2450,45,Prrimaria completa,3870,Hombre,6
2451,35,Secundaria completa,6020,Hombre,9
2452,28,Medio superior y superior,11000,Mujer,17
2453,48,Secundaria completa,10750,Mujer,9
2454,43,Secundaria completa,8000,Hombre,9
2455,54,Prrimaria completa,10320,Mujer,6
2456,34,Medio superior y superior,10000,Hombre,16
2457,41,Medio superior y superior,6450,Mujer,12
2458,42,Secundaria completa,6450,Hombre,9
2459,48,Prrimaria completa,4730,Mujer,6
2460,47,Secundaria completa,4000,Mujer,9
2461,37,Medio superior y superior,1000,Mujer,17
2462,32,Secundaria completa,20210,Hombre,9
2463,33,Medio superior y superior,9200,Mujer,17
2464,23,Prrimaria completa,3870,Mujer,6
2465,25,Secundaria completa,3600,Mujer,10
2466,20,Secundaria completa,6880,Hombre,9
2467,55,Primaria incompleta,7486,Mujer,4
2468,54,Secundaria completa,4730,Hombre,9
2469,55,Prrimaria completa,8600,Hombre,8
2470,46,Secundaria completa,2580,Mujer,9
2471,26,Secundaria completa,1720,Mujer,9
2472,19,Secundaria completa,5590,Hombre,9
2473,50,Medio superior y superior,8800,Hombre,12
2474,28,Primaria incompleta,2580,Hombre,0
2475,40,Primaria incompleta,3655,Hombre,0
2476,35,Medio superior y superior,25800,Hombre,12
2477,55,Prrimaria completa,6000,Hombre,6
2478,31,Secundaria completa,19350,Hombre,9
2479,42,Medio superior y superior,13000,Mujer,16
2480,36,Prrimaria completa,5160,Hombre,6
2481,26,Medio superior y superior,12900,Hombre,17
2482,22,Medio superior y superior,3600,Mujer,16
2483,31,Secundaria completa,5160,Hombre,9
2484,15,Prrimaria completa,1290,Hombre,8
2485,36,Prrimaria completa,1935,Mujer,7
2486,38,Prrimaria completa,5590,Hombre,7
2487,37,Medio superior y superior,5000,Mujer,17
2488,42,Medio superior y superior,20000,Hombre,17
2489,24,Secundaria completa,5160,Mujer,9
2490,31,Medio superior y superior,5590,Hombre,12
2491,22,Secundaria completa,4300,Mujer,9
2492,47,Prrimaria completa,2580,Hombre,6
2493,49,Prrimaria completa,6450,Hombre,6
2494,38,Secundaria completa,5160,Hombre,9
2495,32,Medio superior y superior,12857,Hombre,17
2496,34,Prrimaria completa,7740,Hombre,6
2497,45,Medio superior y superior,7740,Hombre,12
2498,39,Prrimaria completa,6450,Mujer,6
2499,48,Secundaria completa,7600,Hombre,9
2500,37,Secundaria completa,6450,Hombre,9
2501,63,Medio superior y superior,15000,Hombre,17
2502,53,Medio superior y superior,8000,Hombre,17
2503,42,Medio superior y superior,12600,Mujer,16
2504,44,Prrimaria completa,1290,Mujer,8
2505,31,Medio superior y superior,12000,Hombre,18
2506,43,Medio superior y superior,34000,Hombre,17
2507,68,Prrimaria completa,7740,Hombre,6
2508,36,Prrimaria completa,3225,Hombre,6
2509,58,Prrimaria completa,1290,Mujer,8
2510,31,Secundaria completa,4300,Mujer,9
2511,40,Medio superior y superior,20000,Mujer,17
2512,51,Prrimaria completa,1290,Mujer,6
2513,28,Secundaria completa,7310,Mujer,9
2514,54,Medio superior y superior,10000,Hombre,17
2515,50,Secundaria completa,7740,Hombre,9
2516,54,Secundaria completa,2150,Hombre,11
2517,58,Primaria incompleta,5590,Hombre,2
2518,22,Medio superior y superior,8600,Hombre,12
2519,24,Medio superior y superior,12900,Hombre,16
2520,49,Medio superior y superior,20000,Hombre,12
2521,30,Prrimaria completa,6450,Hombre,6
2522,52,Medio superior y superior,10000,Hombre,12
2523,51,Primaria incompleta,3870,Mujer,5
2524,24,Secundaria completa,1720,Hombre,9
2525,30,Primaria incompleta,4945,Hombre,3
2526,50,Secundaria completa,4515,Mujer,9
2527,32,Primaria incompleta,5160,Hombre,3
2528,22,Secundaria completa,2000,Mujer,9
2529,61,Primaria incompleta,2080,Hombre,0
2530,75,Primaria incompleta,2150,Hombre,3
2531,35,Secundaria completa,7310,Hombre,11
2532,19,Medio superior y superior,2580,Hombre,12
2533,47,Prrimaria completa,7310,Mujer,6
2534,33,Medio superior y superior,8400,Hombre,18
2535,65,Primaria incompleta,2064,Hombre,3
2536,40,Prrimaria completa,9030,Hombre,6
2537,40,Secundaria completa,6708,Hombre,9
2538,49,Medio superior y superior,9700,Hombre,17
2539,28,Secundaria completa,4730,Hombre,9
2540,37,Medio superior y superior,12000,Mujer,16
2541,29,Secundaria completa,5160,Hombre,9
2542,52,Prrimaria completa,5805,Mujer,6
2543,43,Secundaria completa,8600,Hombre,10
2544,30,Medio superior y superior,10000,Mujer,17
2545,49,Prrimaria completa,5000,Mujer,6
2546,61,Secundaria completa,4500,Hombre,10
2547,30,Primaria incompleta,4300,Hombre,3
2548,33,Medio superior y superior,9000,Mujer,16
2549,59,Secundaria completa,10750,Hombre,9
2550,34,Secundaria completa,5160,Hombre,9
2551,54,Prrimaria completa,4300,Hombre,7
2552,28,Medio superior y superior,1400,Mujer,15
2553,36,Secundaria completa,1290,Mujer,9
2554,35,Medio superior y superior,4000,Mujer,16
2555,28,Secundaria completa,5160,Hombre,9
2556,53,Prrimaria completa,4300,Mujer,6
2557,49,Secundaria completa,6450,Hombre,9
2558,46,Secundaria completa,5160,Mujer,9
2559,31,Secundaria completa,3000,Mujer,9
2560,29,Secundaria completa,24000,Mujer,12
2561,22,Medio superior y superior,9460,Hombre,12
2562,52,Medio superior y superior,28000,Mujer,15
2563,30,Secundaria completa,3600,Mujer,9
2564,36,Secundaria completa,3440,Mujer,9
2565,21,Prrimaria completa,5160,Hombre,6
2566,56,Prrimaria completa,3870,Hombre,6
2567,67,Prrimaria completa,19350,Hombre,6
2568,17,Secundaria completa,5590,Hombre,9
2569,27,Secundaria completa,5977,Mujer,9
2570,51,Secundaria completa,3870,Mujer,9
2571,52,Medio superior y superior,8200,Mujer,12
2572,52,Primaria incompleta,7310,Hombre,2
2573,39,Secundaria completa,4300,Mujer,9
2574,27,Medio superior y superior,4300,Mujer,12
2575,27,Secundaria completa,5000,Hombre,9
2576,36,Secundaria completa,3096,Hombre,9
2577,42,Secundaria completa,8000,Hombre,9
2578,25,Secundaria completa,2200,Mujer,9
2579,29,Secundaria completa,2150,Mujer,9
2580,64,Primaria incompleta,4500,Hombre,0
2581,15,Prrimaria completa,2580,Mujer,8
2582,51,Secundaria completa,8600,Hombre,9
2583,22,Medio superior y superior,1720,Mujer,12
2584,53,Secundaria completa,3440,Mujer,9
2585,20,Secundaria completa,4300,Hombre,9
2586,51,Prrimaria completa,6020,Hombre,6
2587,45,Prrimaria completa,5160,Hombre,6
2588,27,Medio superior y superior,10750,Hombre,12
2589,39,Secundaria completa,8600,Hombre,9
2590,48,Primaria incompleta,8600,Hombre,4
2591,19,Prrimaria completa,6450,Hombre,6
2592,43,Medio superior y superior,16000,Mujer,18
2593,40,Secundaria completa,5160,Mujer,9
2594,70,Prrimaria completa,2580,Mujer,6
2595,43,Secundaria completa,2150,Mujer,9
2596,27,Medio superior y superior,18000,Hombre,17
2597,67,Primaria incompleta,7740,Mujer,0
2598,32,Medio superior y superior,1290,Mujer,14
2599,34,Medio superior y superior,16000,Hombre,12
